TYPE_ATTRIBUT;CODE_ATTRIBUT;LIBELLE_ATTRIBUT;TYPE_ATTRIBUT_PARENT;CODE_ATTRIBUT_PARENT
GROUPE;wolfis;Wolfi;;
RAYON;wolfis;Wolfis;GROUPE;wolfis
FAMILLE;Accessories;Accessories;RAYON;wolfis
FAMILLE;Adapter;Adapter;RAYON;wolfis
FAMILLE;Aero Bar - Accessories;Aero Bar - Accessories;RAYON;wolfis
FAMILLE;Aerobar;Aerobar;RAYON;wolfis
FAMILLE;Aerobar Accessories;Aerobar Accessories;RAYON;wolfis
FAMILLE;Aerobar Extension;Aerobar Extension;RAYON;wolfis
FAMILLE;Arm Sleeve;Arm Sleeve;RAYON;wolfis
FAMILLE;Armrest;Armrest;RAYON;wolfis
FAMILLE;Armrest Pads;Armrest Pads;RAYON;wolfis
FAMILLE;Axle;Axle;RAYON;wolfis
FAMILLE;Axle Adapter;Axle Adapter;RAYON;wolfis
FAMILLE;B&W Replacement Part;B&W Replacement Part;RAYON;wolfis
FAMILLE;Bag;Bag;RAYON;wolfis
FAMILLE;Bar - Spares;Bar - Spares;RAYON;wolfis
FAMILLE;Bar End Plug;Bar End Plug;RAYON;wolfis
FAMILLE;Bar End Shifter;Bar End Shifter;RAYON;wolfis
FAMILLE;Bar Ends;Bar Ends;RAYON;wolfis
FAMILLE;Bar Grips;Bar Grips;RAYON;wolfis
FAMILLE;Bar Tape;Bar Tape;RAYON;wolfis
FAMILLE;Barrel Adjuster;Barrel Adjuster;RAYON;wolfis
FAMILLE;Barstem;Barstem;RAYON;wolfis
FAMILLE;Base Bar;Base Bar;RAYON;wolfis
FAMILLE;Base Layer;Base Layer;RAYON;wolfis
FAMILLE;Base Layer Men;Base Layer Men;RAYON;wolfis
FAMILLE;Base Layer Women;Base Layer Women;RAYON;wolfis
FAMILLE;Basebar;Basebar;RAYON;wolfis
FAMILLE;Baselayer Men;Baselayer Men;RAYON;wolfis
FAMILLE;Baselayer Women;Baselayer Women;RAYON;wolfis
FAMILLE;Basket;Basket;RAYON;wolfis
FAMILLE;Battery;Battery;RAYON;wolfis
FAMILLE;Bearing;Bearing;RAYON;wolfis
FAMILLE;Bearing Balls;Bearing Balls;RAYON;wolfis
FAMILLE;Bearings;Bearings;RAYON;wolfis
FAMILLE;Bell;Bell;RAYON;wolfis
FAMILLE;Bib Shorts;Bib Shorts;RAYON;wolfis
FAMILLE;Bibshorts Custom;Bibshorts Custom;RAYON;wolfis
FAMILLE;Bibshorts Kids;Bibshorts Kids;RAYON;wolfis
FAMILLE;Bibshorts Men;Bibshorts Men;RAYON;wolfis
FAMILLE;Bibshorts Women;Bibshorts Women;RAYON;wolfis
FAMILLE;Bibtights Men;Bibtights Men;RAYON;wolfis
FAMILLE;Bibtights Women;Bibtights Women;RAYON;wolfis
FAMILLE;Bike Bags and Racks Hardware;Bike Bags and Racks Hardware;RAYON;wolfis
FAMILLE;Bike Cleaner;Bike Cleaner;RAYON;wolfis
FAMILLE;Bike Cleaner Cloth;Bike Cleaner Cloth;RAYON;wolfis
FAMILLE;Bike Cleaner Kit;Bike Cleaner Kit;RAYON;wolfis
FAMILLE;Bike Cleaning Brush;Bike Cleaning Brush;RAYON;wolfis
FAMILLE;Bike Cleaning Kit;Bike Cleaning Kit;RAYON;wolfis
FAMILLE;Bike Computer Mount;Bike Computer Mount;RAYON;wolfis
FAMILLE;Bike Computer Mount Insert;Bike Computer Mount Insert;RAYON;wolfis
FAMILLE;Bike Computer Mount Interface;Bike Computer Mount Interface;RAYON;wolfis
FAMILLE;Bike Cover;Bike Cover;RAYON;wolfis
FAMILLE;Bike Fit Service;Bike Fit Service;RAYON;wolfis
FAMILLE;Bike Fitting System;Bike Fitting System;RAYON;wolfis
