TYPE_MOVEMENT;SKU;LOCATION;EXPECTED_QUANTITY
M;8909429687996;P492;2
M;8909429689358;P492;2
M;8909429689365;P492;2
M;8909429689372;P492;2
M;8909429689389;P492;2
M;8909429689396;P492;2
M;8909429689402;P492;2
M;8909429689419;P492;4
M;8909429689426;P492;3
M;8909429689433;P492;1
M;8909429689440;P492;2
M;8909429689457;P492;2
M;8909429689464;P492;4
M;8909429689471;P492;3
M;8909429689488;P492;1
M;8909429689495;P492;2
M;8909429689501;P492;2
M;8909429689761;P492;3
M;8909429689778;P492;3
M;8909429689785;P492;2
M;8909429689792;P492;2
M;8909429689808;P492;2
M;8909429689815;P492;2
M;8909429689822;P492;1
