TYPE_MOUVEMENT;CODE_ARTICLE;TYPE_BARCODE;BARCODE
M;031425936589;;8051311097106
M;031425936590;;8051311097182
M;031425936591;;8051311097267
M;031425938034;;8055207090943
M;031426193630;;8055207622434
M;031425936593;;8051311097434
M;031425936596;;8051311097656
M;031425936632;;8055207327780
M;031425936633;;8055207359538
M;031425936634;;8055207359545
M;031425936635;;8055207359552
M;031425936637;;8055207359576
M;031425936638;;8055207359583
M;031425937983;;8055207377037
M;031425937984;;8055207347870
M;031425937985;;8055207377068
M;031425937987;;8055207347863
M;031425937988;;8055207377112
M;031425937995;;8055207379635
M;031425937996;;8055207348310
M;031425937997;;8055207377976
M;031425937998;;8055207377990
M;031425937999;;8055207339776
M;031425938000;;8055207378027
M;031425938006;;8051311075142
M;031425938030;;8055207090998
M;031425938031;;8055207090981
M;031425938032;;8055207091018
M;031425938033;;8055207090929
M;031425938035;;8055207091049
M;031426193615;;8055207751325
M;031426193628;;8055207623554
M;031426193629;;8055207622373
M;031426193631;;8055207621994
M;031426193632;;8055207622175
M;031426193633;;8055207622267
M;031426193634;;8055207622328
M;031426193635;;8055207622724
M;031426193636;;8055207622748
M;031426193637;;8055207622779
M;031426193638;;8055207622601
M;031426193639;;8055207622595
M;031426193640;;8055207622632
M;031426193641;;8055207622656
M;031426193649;;8055207756672
M;031426193650;;8055207756696
M;031426193651;;8055207756719
M;031426193652;;8055207756603
M;031426193653;;8055207756627
M;031426193654;;8055207756634
M;031426193655;;8055207756641
M;031426193673;;8055207621673
M;031426193665;;8055207623349
M;031426193663;;8055207623356
M;031426193664;;8055207623295
M;031426193666;;8055207623257
M;031426193667;;8055207623448
M;031426193668;;8055207623417
M;031426193669;;8055207623462
M;031426193670;;8055207623158
M;031426193671;;8055207621802
M;031426193672;;8055207621895
M;031426193674;;8055207549977
M;031426193675;;8055207621727
M;031426193676;;8055207621765
M;031426193713;;8055207616891
M;031426193761;;8058137276043
M;031426193761;;031436193761
M;031426193712;;8055207616860
