EXTERNAL_DOC_REFERENCE;EXTERNAL_ORDER_REFERENCE;USER_REASON;CODE_SUPPLIER;TRACKING_NUMBER;LOCATION_TO;DELIVERY_AREA;IS_OVERSUPPLY;PARCEL_QUANTITY;DELIVERY_DATE;EXTERNAL_LINE_REFERENCE;CODE_ARTICLE;EXPECTED_QUANTITY;PARCEL;PALLET;STATUS
d3dbf5f2-1c32-44f2-a874-153e58393cb5;PO-05087;PO;Manifattura Valcismon SPA (Castelli);63758;Main Warehouse;;0;1;20260615;0f19f0a3-6fae-462d-8409-6f6818ddd516;8050949829936;128;63758;;to_check
d3dbf5f2-1c32-44f2-a874-153e58393cb5;PO-05087;PO;Manifattura Valcismon SPA (Castelli);63758;Main Warehouse;;0;1;20260615;5152034c-947c-4460-8175-9f4ebc0a2e71;8056006614194;13;63758;;to_check
d3dbf5f2-1c32-44f2-a874-153e58393cb5;PO-05087;PO;Manifattura Valcismon SPA (Castelli);63758;Main Warehouse;;0;1;20260615;f19b174c-fc04-4e4a-acfa-55af9e669543;8056006614170;69;63758;;to_check
d3dbf5f2-1c32-44f2-a874-153e58393cb5;PO-05087;PO;Manifattura Valcismon SPA (Castelli);63758;Main Warehouse;;0;1;20260615;64041041-4ade-492d-bfde-66141662cbd1;8050949829943;106;63758;;to_check
d3dbf5f2-1c32-44f2-a874-153e58393cb5;PO-05087;PO;Manifattura Valcismon SPA (Castelli);63758;Main Warehouse;;0;1;20260615;86df61ab-1330-4b20-ad18-7f7812b14871;8050949829912;21;63758;;to_check
d3dbf5f2-1c32-44f2-a874-153e58393cb5;PO-05087;PO;Manifattura Valcismon SPA (Castelli);63758;Main Warehouse;;0;1;20260615;fa92ad86-519f-47e0-922c-2e4b16111052;8056006441257;60;63758;;to_check
d3dbf5f2-1c32-44f2-a874-153e58393cb5;PO-05087;PO;Manifattura Valcismon SPA (Castelli);63758;Main Warehouse;;0;1;20260615;3bdc5a5b-5ae0-4c27-aefa-f1d85f23b2c8;8056006676802;128;63758;;to_check
d3dbf5f2-1c32-44f2-a874-153e58393cb5;PO-05087;PO;Manifattura Valcismon SPA (Castelli);63758;Main Warehouse;;0;1;20260615;e00d3ba7-3384-4d58-99bb-f69200582be1;8056006614187;28;63758;;to_check
d3dbf5f2-1c32-44f2-a874-153e58393cb5;PO-05087;PO;Manifattura Valcismon SPA (Castelli);63758;Main Warehouse;;0;1;20260615;d2b8ca1f-b519-4092-bbac-b7106e3b71af;8056006614156;55;63758;;to_check
d3dbf5f2-1c32-44f2-a874-153e58393cb5;PO-05087;PO;Manifattura Valcismon SPA (Castelli);63758;Main Warehouse;;0;1;20260615;a1d7a9ba-d3d9-4b15-a597-e4887f4ea279;8056006438530;18;63758;;to_check
d3dbf5f2-1c32-44f2-a874-153e58393cb5;PO-05087;PO;Manifattura Valcismon SPA (Castelli);63758;Main Warehouse;;0;1;20260615;e363d5b7-9228-4caf-ba42-9ffeb971ac1b;8050949829431;28;63758;;to_check
d3dbf5f2-1c32-44f2-a874-153e58393cb5;PO-05087;PO;Manifattura Valcismon SPA (Castelli);63758;Main Warehouse;;0;1;20260615;eff4e130-29a3-4347-a238-5e2b43355dfe;8056006487118;22;63758;;to_check
d3dbf5f2-1c32-44f2-a874-153e58393cb5;PO-05087;PO;Manifattura Valcismon SPA (Castelli);63758;Main Warehouse;;0;1;20260615;8cc5bbc5-c424-4373-b8f1-ceb9ddefb419;8056006427541;55;63758;;to_check
d3dbf5f2-1c32-44f2-a874-153e58393cb5;PO-05087;PO;Manifattura Valcismon SPA (Castelli);63758;Main Warehouse;;0;1;20260615;7fb5d9a4-8bad-420a-afec-1ed8e1312ffa;8056006427558;1;63758;;to_check
d3dbf5f2-1c32-44f2-a874-153e58393cb5;PO-05087;PO;Manifattura Valcismon SPA (Castelli);63758;Main Warehouse;;0;1;20260615;032f6d68-5e3e-48b3-b7bb-4e0e7f5a3e37;8056006438516;22;63758;;to_check
d3dbf5f2-1c32-44f2-a874-153e58393cb5;PO-05087;PO;Manifattura Valcismon SPA (Castelli);63758;Main Warehouse;;0;1;20260615;4b123fbb-c3da-434f-9bbd-c396c7a41363;8056006438523;28;63758;;to_check
d3dbf5f2-1c32-44f2-a874-153e58393cb5;PO-05087;PO;Manifattura Valcismon SPA (Castelli);63758;Main Warehouse;;0;1;20260615;9d9c68ba-0581-49ac-9633-ad74b71d619b;8056006441288;3;63758;;to_check
d3dbf5f2-1c32-44f2-a874-153e58393cb5;PO-05087;PO;Manifattura Valcismon SPA (Castelli);63758;Main Warehouse;;0;1;20260615;68fd6165-34da-4999-ab72-327dc953a267;8056006489068;28;63758;;to_check
d3dbf5f2-1c32-44f2-a874-153e58393cb5;PO-05087;PO;Manifattura Valcismon SPA (Castelli);63758;Main Warehouse;;0;1;20260615;7bd7ed11-c791-445d-9f43-d916240da2ee;8056006676826;106;63758;;to_check
d3dbf5f2-1c32-44f2-a874-153e58393cb5;PO-05087;PO;Manifattura Valcismon SPA (Castelli);63758;Main Warehouse;;0;1;20260615;073923b0-e89c-450b-abb6-a2293770407d;8050949829929;85;63758;;to_check
d3dbf5f2-1c32-44f2-a874-153e58393cb5;PO-05087;PO;Manifattura Valcismon SPA (Castelli);63758;Main Warehouse;;0;1;20260615;4f14ebfd-8b86-42d6-86bb-aac0054b5772;8056006427589;13;63758;;to_check
d3dbf5f2-1c32-44f2-a874-153e58393cb5;PO-05087;PO;Manifattura Valcismon SPA (Castelli);63758;Main Warehouse;;0;1;20260615;ed746c08-2a8c-484c-a64b-d7452d0092ac;8056006614385;3;63758;;to_check
d3dbf5f2-1c32-44f2-a874-153e58393cb5;PO-05087;PO;Manifattura Valcismon SPA (Castelli);63758;Main Warehouse;;0;1;20260615;11da4945-cdd7-488d-9c1e-2d4f4972fe3e;8056006438509;7;63758;;to_check
d3dbf5f2-1c32-44f2-a874-153e58393cb5;PO-05087;PO;Manifattura Valcismon SPA (Castelli);63758;Main Warehouse;;0;1;20260615;b7158d79-89e2-4d10-8d49-dbaa35aaeed7;8056006614361;45;63758;;to_check
d3dbf5f2-1c32-44f2-a874-153e58393cb5;PO-05087;PO;Manifattura Valcismon SPA (Castelli);63758;Main Warehouse;;0;1;20260615;e9014f3f-dc51-4542-8c83-4b088d8d06cb;8056006614163;81;63758;;to_check
d3dbf5f2-1c32-44f2-a874-153e58393cb5;PO-05087;PO;Manifattura Valcismon SPA (Castelli);63758;Main Warehouse;;0;1;20260615;f31cf270-2684-4073-9d11-198b4776c815;8056006441271;15;63758;;to_check
d3dbf5f2-1c32-44f2-a874-153e58393cb5;PO-05087;PO;Manifattura Valcismon SPA (Castelli);63758;Main Warehouse;;0;1;20260615;d13a948c-3ee2-41e8-b780-e620f38c80ee;8056006614354;60;63758;;to_check
d3dbf5f2-1c32-44f2-a874-153e58393cb5;PO-05087;PO;Manifattura Valcismon SPA (Castelli);63758;Main Warehouse;;0;1;20260615;8bbdb2aa-2635-4a8e-8070-de8c12951cd9;8056006427565;69;63758;;to_check
