TYPE_MOUVEMENT;CODE_ARTICLE;MAIN_EAN;CODE_PRODUCT;SHORT_LABEL;LONG_LABEL;CODE_SEASON;CODE_SUPPLIER;CODE_FAMILY;CODE_NGP;CODE_COLOR;CODE_SIZE;PRIMARY_TYPE_TAG;SECONDARY_TYPE_TAG;SELLING_PRICE;BUYING_PRICE;URL_PICTURE;TRACEABILITY_MODE;SUPPLIER_REF;END_PRODUCT;QUANTITY;UNIT;FIDELITY_PRICE;USERFIELD_1;USERFIELD_2;USERFIELD_3;USERFIELD_4;USERFIELD_5;CODE_BRAND;PRICE_COMPARISON_UNIT;PRICE_COMPARISON_DIVIDER;RANK
M;[7615523507993][SJM04AA0M23090124A];2000351390001;7615523507993;Scott Aspect 930 Black M - 290234;;;;Mountain Bike;;;;Multi;Multi;1237.63;1237.63;;;;;;;;;;;;SJM04AA0M23090124A;;;;
M;[7615523507993][SJM04AA0M23090128A];2002536490407;7615523507993;Scott Aspect 930 Black M - 290234;;;;Mountain Bike;;;;Multi;Multi;1237.63;1237.63;;;;;;;;;;;;SJM04AA0M23090128A;;;;
M;[7615523507993][SJM04AA0M23090182A];2008339540608;7615523507993;Scott Aspect 930 Black M - 290234;;;;Mountain Bike;;;;Multi;Multi;1237.63;1237.63;;;;;;;;;;;;SJM04AA0M23090182A;;;;
M;[7615523507993][SJM04AA0M23090186A];2008275200505;7615523507993;Scott Aspect 930 Black M - 290234;;;;Mountain Bike;;;;Multi;Multi;1237.63;1237.63;;;;;;;;;;;;SJM04AA0M23090186A;;;;
M;[7615523507993][SJM04AA0M23090195A];2009034777900;7615523507993;Scott Aspect 930 Black M - 290234;;;;Mountain Bike;;;;Multi;Multi;1237.63;1237.63;;;;;;;;;;;;SJM04AA0M23090195A;;;;
M;[7615523507993][SJM04AA0M23090212A];2005449707204;7615523507993;Scott Aspect 930 Black M - 290234;;;;Mountain Bike;;;;Multi;Multi;1237.63;1237.63;;;;;;;;;;;;SJM04AA0M23090212A;;;;
M;[7615523764785][AS30397560];2006584628607;7615523764785;Scott Aspect 940 Orange M - 296302;;;;Mountain Bike;;;;Multi;Multi;1497.9043;1497.9043;;;;;;;;;;;;AS30397560;;;;
M;[7615523764785][AS30397574];2004523003508;7615523764785;Scott Aspect 940 Orange M - 296302;;;;Mountain Bike;;;;Multi;Multi;1497.9043;1497.9043;;;;;;;;;;;;AS30397574;;;;
M;[7616185378495][SAM38AA0M25103803];2008375007608;7616185378495;Scott Contrail 30 Luminary Green M - 425634;;;;Mountain Bike;;;;Multi;Multi;1039.4024;1039.4024;;;;;;;;;;;;SAM38AA0M25103803;;;;
M;[7616185377603][STM34F30M25050126A];2003154706604;7616185377603;Scott Spark RC Team Issue Twinkle Green M - 425321;;;;Mountain Bike;;;;Multi;Multi;9728.4525;9728.4525;;;;;;;;;;;;STM34F30M25050126A;;;;
M;[7615523502233][SGM08F30S23050015A];2007488170902;7615523502233;Scott Genius 910 Black/Green S - 290139;;;;Mountain Bike;;;;Multi;Multi;12131.82;12131.82;;;;;;;;;;;;SGM08F30S23050015A;;;;
M;[7615523545858][DGM01F5XL23010032A];2001305874707;7615523545858;BOLD Unplugged Ultimate X01 AXS  Bike XL;;;;Mountain Bike;;;;Multi;Multi;6543.1722;6543.1722;;;;;;;;;;;;DGM01F5XL23010032A;;;;
